"","ID","places","lattitude","longitude"
"804","2021.c.4.1.3","Odin",38.617271,-89.0522867
"805","2021.c.4.1.5","the United States",47.8287874669091,-122.598947831237
"806","2021.c.4.1.6","Nizhny Novgorod",56.27692915,43.9212980714943
"807","2021.c.4.1.6","Dearborn",42.3222599,-83.1763145
"808","2021.c.4.1.8","Teotihuacan",19.69335705,-98.883126382207
"809","2021.c.4.1.10","Estonia",58.7523778,25.3319078
"810","2021.c.4.1.10","Ireland",52.865196,-7.9794599
"811","2021.c.4.1.10","U.S.",51.4376108,7.3303862
"812","2021.c.4.1.10","New York",40.7127281,-74.0060152
"813","2021.c.4.1.10","Oneida",43.2144051,-75.4039155
"814","2021.c.4.2.2","Tsushima  Strait",34.0953725822304,129.871472839785
"815","2021.c.4.2.2","Portsmouth",50.800031,-1.0906023
"816","2021.c.4.2.7","Mendoza province",-6.3644584,-77.4278223
"817","2021.c.4.2.8","Rome",41.8933203,12.4829321
"818","2021.c.4.2.8","Byzantium",41.006381,28.9758715
"819","2021.c.4.3.lightning.1.1","the Republic of Texas",32.3814205,-97.3352431421405
"820","2021.c.4.3.lightning.1.2","Texas",31.2638905,-98.5456116
"821","2021.c.4.3.lightning.1.3","the Texan Republic",NA,NA
"822","2021.c.4.3.lightning.1.4","San Antonio",29.4246002,-98.4951405
"823","2021.c.4.3.lightning.1.5","U.S.",51.4376108,7.3303862
"824","2021.c.4.3.lightning.1.5","Texas",31.2638905,-98.5456116
"825","2021.c.4.3.lightning.1.6","the Republic of Texas",32.3814205,-97.3352431421405
"826","2021.c.4.3.lightning.1.7","Texas",31.2638905,-98.5456116
"827","2021.c.4.3.lightning.2.1","Kingdom",54.7023545,-3.2765753
"828","2021.c.4.3.lightning.2.1","Cleopatra",37.6222682,-87.2927777
"829","2021.c.4.3.lightning.2.3","Rome",41.8933203,12.4829321
"830","2021.c.4.3.lightning.2.5","Rome",41.8933203,12.4829321
"831","2021.c.4.3.lightning.3.2","Columbus",39.9622601,-83.0007065
"832","2021.c.4.3.lightning.3.2","New Mexico",34.5802074,-105.996047
"833","2021.c.4.3.lightning.3.2","U.S.",51.4376108,7.3303862
"834","2021.c.4.3.lightning.3.3","U.S.",51.4376108,7.3303862
"835","2021.c.4.3.lightning.3.5","Chiapas",16.5000001,-92.5000001
"836","2021.c.4.4.1","Canada",61.0666922,-107.991707
"837","2021.c.4.4.1","Great Britain",54.3151594,-1.91815321114879
"838","2021.c.4.4.1","the United States",47.8287874669091,-122.598947831237
"839","2021.c.4.4.2","Gaul",50.1813995,7.6535842
"840","2021.c.4.4.3","Skeleton",30.3245724794233,-94.9797129981341
"841","2021.c.4.4.4","the United States",47.8287874669091,-122.598947831237
"842","2021.c.4.4.5","U.S.",51.4376108,7.3303862
"843","2021.c.4.4.5","Canada",61.0666922,-107.991707
"844","2021.c.4.4.7","Athens",33.9597677,-83.376398
"845","2021.c.4.4.7","Sparta",37.08114525,22.4248617827202
"846","2021.c.4.4.8","U.S.",51.4376108,7.3303862
"847","2021.c.4.4.8","Philippines",12.7503486,122.7312101
